id,prefLabel,type,description,broader
XMR,Monero,concept,"An open-source cryptocurrency created in April 2014 that focuses on fungibility, privacy and decentralization. Monero (XMR) uses an obfuscated public ledger, meaning anybody can broadcast or send transactions, but no outside observer can tell the source, amount or destination. ",cryptocurrency
BNB,Binance Coin,concept,"BNB powers the Binance Ecosystem. As the native coin of Binance Chain, BNB has multiple use cases: fueling transactions on the Chain, paying for transaction fees on Binance Exchange, making in-store payments, and many more.",cryptocurrency
actor,Actor,concept,An actor is anything playing an active role in Darknets or Cryptoasset ecosystems. This subsumes individuals and organizations as well as automated services fulfilling a certain function in such environments.,entity2
i2p_invisible_internet_protocol_network,Invisible Internet protocol network,concept,"A type of anonymity network similar to Tor, based on the Invisible Internet Project protocol.",dark_web
dark_market,Darknet market,concept,"A darknet market is a commercial website on the web that operates via darknets such as Tor or I2P. They function primarily as black markets, selling or brokering transactions involving drugs, cyber-arms, weapons, counterfeit currency, stolen credit card details, forged documents, unlicensed pharmaceuticals, steroids, and other illicit goods as well as the sale of legal products.",service
pgp_pretty_good_privacy,Pretty Good Privacy,concept,"An abbreviation for Pretty Good Privacy, an encryption program popular for encrypting emails and files. Through the use of public and private keys, it allows users who have never met to send encrypted messages etc. to each other without exchanging private encryption keys.",technology
takedown_notice,Takedown notice,concept,Notice and take down is a process operated by online hosts in response to court orders or allegations that content is illegal. Content is removed by the host following notice. ,process
victim,Victim,concept,"Someone or something that has been hurt, damaged, or killed or has suffered, either because of the actions of someone or something else, or because of illness or chance.",actor
DOT,Polkadot,concept,Polkadot is a heterogeneous multi-chain interchange and translation architecture which enables customised side-chains to connect with public blockchains.,cryptocurrency
bank_credentials,Bank credentials,concept,Login credentials for e-services that are provided by financial institutions with a bank license.,asset
wallet,Wallet,concept,"A wallet, is a piece of software that keeps track of the secret keys, for instance used to digitally sign cryptocurrency transactions for distributed ledgers.",infrastructure
money_mule,Money mule,concept,"A money mule, sometimes called a ""smurfer,"" is a person who transfers money acquired illegally in person, through a courier service, or electronically, on behalf of others. Typically, the mule is paid for services with a small part of the money transferred. ",actor
irc,Internet Relay Chat,concept,A text-based chat service enabling users connected to a server to communicate with each other in real-time. ,service
software_wallet,Software wallet,concept,A [software] cryptocurrency wallet is a (...) program or a service which stores the private keys for cryptocurrency transactions. It will normally also contain the associated public keys.,wallet
ADA,Cardano,concept,"Cardano is a public blockchain platform. It is open source and decentralized, with consensus achieved using proof of stake. It can facilitate peer-to-peer transactions with its internal cryptocurrency Ada.",cryptocurrency
DOGE,Dogecoin,concept,"Dogecoin (code: DOGE, symbol: Ð) is a cryptocurrency created by software engineers Billy Markus and Jackson Palmer, who decided to create a payment system that is instant, fun, and free from traditional banking fees.",cryptocurrency
exchange,Exchange,concept,Trading platform (commonly referred to as an “Exchange”) is the term within this paper used to describe any venue which facilitates the exchange of tokens for any form of money or asset. Trading platforms provide services to buy and sell tokens and/or for exchange of national (fiat) currencies backed by central banks.,service
blockchain,Blockchain,concept,"Blockchain is a distributed technology built under peer-to-peer network principles and cryptographic primitives, such as asymmetric encryption and digital signature. It allows trust-less users to exchange information and record transactions without external interference and coordination.",technology
darknet_email_service,Darknet Email Service,concept,Messaging services hosted or accessible via privacy enhanced networks.,service
credentials,Credentials,concept,"A credential is a piece of any document that details a qualification, competence, or authority issued to an individual by a third party with a relevant or de facto authority or assumed competence to do so.",asset
rug-pull,Rug pull,concept,A rug pull is a malicious maneuver in the cryptocurrency industry where crypto developers abandon a project and run away with investors’ funds,process
moderator,Moderator,concept,A person who manages the discussion contributions in an online forum.,actor
tor_network,TOR Network,concept,A network of routers that adds encryption to conceal a web user’s location and usage so that these are resistant to surveillance and hence are truly anonymous. The domain names of these hidden sites all end in ‘.onion’ and they are only accessible by using a Tor browser. Tor stands for ‘The Onion Router’. ,dark_web
zeronet,ZeroNet,concept,"One of the newest Darknets, becoming increasingly popular. It is a combination of trackerless Bittorrent and a Blockchain for persistent site and user identity. ZeroNet optionally uses the Tor network as a virtual private network. As a full mesh network, all clients are also servers. By browsing to a “zite” as they are known in ZeroNet lingo, the machine used automatically becomes one of the servers for this zite also. ",dark_web
dead_drop,Dead drop,concept,The dead drop is a delivery model used by some vendors to distribute their products. A vendor uses a ‘dropman’ to hide consignments of pre-packaged drug deals in a number of suitably discreet offline locations. When a buyer makes a purchase from the vendor the geo-coordinates are provided to them for them to collect their order.,service
coinjoin,Coinjoin,concept,"Coinjoin is a method of mixing cryptocurrency tokens or coins, where two or more user transactions are combined into a single transaction on the blockchain, with multiple inputs and outputs. The concept behind that methodology is to obfuscate the link between an input and an output that would otherwise be apparent in a standard, single-user transaction. The coinjoin methodology is open-source and integrated into some software wallets, and is also available for use via a hosted online service.",technology
paste_site_service,Paste site/service,concept,"A pastebin or text storage site is a type of online content hosting service where users can store plain text, e.g. to source code snippets for code review via Internet Relay Chat (IRC).",service
deep_web,Deep Web,concept,"The deep web, invisible web, or hidden web are parts of the World Wide Web whose contents are not indexed by standard web search-engines.",infrastructure
cryptocurrencies_user,Cryptocurrencies User,concept,(User of) Decentralized virtual currency that employs cryptography to accomplish tamper-resistance.,actor
flash-loan-attack,Flash loan attack,concept,An attack to a DeFi protocol that exploits vulnerabilities in the flash loan system,process
process,Process,concept,A series of actions or operations conducing to an end,entity2
privacy_coin,Privacy coin,concept,"Privacy coins are a class of cryptocurrencies that power private and anonymous blockchain transactions by obscuring their origin and destination. Some of the techniques used include hiding a user’s real wallet balance and address, and mixing multiple transactions with each other to elude chain analysis.",asset
infrastructure,Infrastructure,concept,The underlying foundation or basic framework (as of a system or organization),entity2
peer_to_peer_exchange,Peer-to-peer exchange,concept,"The exchange or sharing of information, data, or assets between parties without the involvement of a central authority. Peer-to-peer, or P2P, takes a decentralized approach to interactions between individuals and groups. This approach has been used in computers and networking (peer-to-peer file sharing), as well as with virtual assets trading.",technology
proxy,Proxy,concept,A virtual service that changes users’ IP addresses when using the Internet. ,infrastructure
